Kind,AssemblyName,AssemblyId,Source,Target
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerDisplayAttribute#.ctor(System.Runtime[4.2.1.0]/System.String)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#<name>i__Field","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerBrowsableAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#<name>i__Field","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerBrowsableAttribute#.ctor(System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerBrowsableState)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#<name>i__Field","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#name","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#get_name","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>#<name>i__Field"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#.ctor(!0)","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#.ctor(!0)","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#.ctor(!0)","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#.ctor(!0)","System.Runtime[4.2.1.0]/System.Object#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#.ctor(!0)","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>#<name>i__Field"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","System.Runtime[4.2.1.0]/System.Object"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","System.Collections[4.1.1.0]/System.Collections.Generic.EqualityComparer`1<<name>j__TPar>#get_Default"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>#<name>i__Field"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>#<name>i__Field"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#Equals(System.Runtime[4.2.1.0]/System.Object)","System.Collections[4.1.1.0]/System.Collections.Generic.EqualityComparer`1<<name>j__TPar>#Equals(!0, !0)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#GetHashCode","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#GetHashCode","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#GetHashCode","System.Collections[4.1.1.0]/System.Collections.Generic.EqualityComparer`1<<name>j__TPar>#get_Default"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#GetHashCode","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>#<name>i__Field"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#GetHashCode","System.Collections[4.1.1.0]/System.Collections.Generic.EqualityComparer`1<<name>j__TPar>#GetHashCode(!0)"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","System.Diagnostics.Debug[4.1.1.0]/System.Diagnostics.DebuggerHiddenAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","System.Runtime[4.2.1.0]/System.Object"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1<<name>j__TPar>#<name>i__Field"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","Sample[1.0.0.0]:Sample.dll/<name>j__TPar"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","System.Runtime[4.2.1.0]/System.Object#ToString"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/<>f__AnonymousType0`1#ToString","System.Runtime[4.2.1.0]/System.String#Format(System.Runtime[4.2.1.0]/System.IFormatProvider, System.Runtime[4.2.1.0]/System.String, System.Runtime[4.2.1.0]/System.Object[])"
"Derive","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions","System.Runtime[4.2.1.0]/System.Object"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.ExtensionAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.ExtensionAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions#AddNewtonsoftJson(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.ExtensionAttribute"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions#AddNewtonsoftJson(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)","System.Runtime[4.2.1.0]/System.Runtime.CompilerServices.ExtensionAttribute#.ctor"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions#AddNewtonsoftJson(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)","Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions#AddNewtonsoftJson(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)","Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection"
"Reference","Sample","Sample@2d422d0fdba948a684c2a3160ad91440","Sample[1.0.0.0]:Sample.dll/Sample.JsonExtensions#AddNewtonsoftJson(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)","Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.ServiceCollectionServiceExtensions#AddSingleton(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)"
