Kind,Api
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyHandlerRouteProvider#Authed(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyHandlerRouteProvider#PostAForm(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.MyHandlerRouteProvider#MapRoutes(Microsoft.AspNetCore.Routing[3.0.0.0]/Microsoft.AspNetCore.Routing.IEndpointRouteBuilder)"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.NewtonsoftJsonRequestReader"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.NewtonsoftJsonRequestReader#ReadAsync(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext, System.Runtime[4.2.1.0]/System.Type)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.NewtonsoftJsonRequestReader#.ctor"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.NewtonsoftJsonResponseWriter"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.NewtonsoftJsonResponseWriter#WriteAsync(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Http.HttpContext, System.Runtime[4.2.1.0]/System.Object)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.NewtonsoftJsonResponseWriter#.ctor"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.Program"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.Program#Main(System.Runtime[4.2.1.0]/System.String[])"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.Program#CreateHostBuilder(System.Runtime[4.2.1.0]/System.String[])"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.Program#.ctor"
"Class","Sample[1.0.0.0]:Sample.dll/Sample.Startup"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.Startup#ConfigureServices(Microsoft.Extensions.DependencyInjection.Abstractions[3.0.0.0]/Microsoft.Extensions.DependencyInjection.IServiceCollection)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.Startup#Configure(Microsoft.AspNetCore.Http.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Builder.IApplicationBuilder, Microsoft.AspNetCore.Hosting.Abstractions[3.0.0.0]/Microsoft.AspNetCore.Hosting.IWebHostEnvironment)"
"Method","Sample[1.0.0.0]:Sample.dll/Sample.Startup#.ctor"
